date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,60,7939,685,"[5, 5, 2, 3, 1, 3, 2, 6, 3, 1, 2, 0, 5, 0, 2, 5, 4]","[5, 5, 2, 3, 1, 3, 2, 6, 3, 1, 2, 0, 5, 0, 2, 5, 4]","[0, 30, 45, 120, 195, 285, 345, 420, 465, 525, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,61,7957,695,"[4, 6, 3, 7, 5, 5, 6, 4, 0, 3, 4, 1, 5, 4, 3, 3, 5, 2, 2]","[4, 6, 3, 7, 5, 5, 6, 4, 0, 3, 4, 1, 5, 4, 3, 3, 5]","[0, 30, 75, 150, 225, 285, 345, 390, 450, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,62,7969,688,"[4, 6, 4, 6, 4, 5, 6, 4, 0, 3, 3, 1, 5, 4, 3, 2, 5, 4, 2]","[4, 6, 4, 6, 4, 5, 6, 4, 0, 3, 3, 1, 5, 4, 3, 2, 5]","[0, 30, 75, 120, 195, 270, 330, 390, 450, 540, 555, 570, 600, 615, 630, 645, 675]"
2023-09-28,63,7492,667,"[6, 3, 2, 5, 4, 3, 5, 7, 1, 3, 2, 1, 2, 5, 3, 4]","[6, 3, 2, 5, 4, 3, 5, 7, 1, 3, 2, 1, 2, 5, 3, 4]","[0, 45, 120, 210, 270, 315, 390, 435, 510, 540, 555, 570, 600, 615, 630, 645]"
2023-09-28,64,7563,731,"[7, 7, 6, 5, 7, 2, 0, 1, 2, 4, 2, 2, 1, 4, 4, 7, 5, 4, 1]","[7, 7, 6, 5, 7, 2, 0, 1, 2, 4, 2, 2, 1, 4, 4, 7]","[0, 60, 135, 195, 255, 330, 405, 510, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,65,7999,687,"[6, 4, 4, 6, 4, 6, 0, 2, 1, 3, 4, 5, 2, 2, 4, 5, 4, 7]","[6, 4, 4, 6, 4, 6, 0, 2, 1, 3, 4, 5, 2, 2, 4, 5, 4]","[0, 45, 120, 180, 240, 300, 360, 465, 510, 540, 555, 570, 585, 615, 630, 645, 675]"
2023-09-28,66,7951,718,"[4, 5, 3, 6, 5, 5, 6, 4, 0, 3, 3, 4, 5, 2, 2, 1, 7, 0, 4, 7]","[4, 5, 3, 6, 5, 5, 6, 4, 0, 3, 3, 4, 5, 2, 2, 1, 7]","[0, 30, 45, 120, 195, 255, 315, 375, 450, 525, 540, 570, 585, 600, 615, 630, 660]"
2023-09-28,67,8000,724,"[4, 2, 6, 7, 5, 2, 2, 6, 4, 0, 0, 4, 2, 1, 2, 1, 6, 2, 2]","[4, 2, 6, 7, 5, 2, 2, 6, 4, 0, 0, 4, 2, 1, 2, 1, 6]","[0, 30, 90, 165, 240, 300, 375, 435, 480, 525, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,68,8000,724,"[4, 2, 6, 7, 5, 2, 2, 6, 4, 0, 0, 4, 2, 1, 2, 1, 6, 2, 2]","[4, 2, 6, 7, 5, 2, 2, 6, 4, 0, 0, 4, 2, 1, 2, 1, 6]","[0, 30, 90, 165, 240, 300, 375, 435, 480, 525, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,69,7514,689,"[4, 6, 3, 6, 5, 7, 6, 4, 0, 4, 4, 3, 5, 3, 1, 3, 6, 0, 1]","[4, 6, 3, 6, 5, 7, 6, 4, 0, 4, 4, 3, 5, 3, 1, 3]","[0, 30, 75, 150, 225, 270, 360, 420, 465, 555, 570, 585, 600, 630, 645, 675]"
